point_t,x,y,dist_m,quality,angle_deg
1776310027.4375892,0.10171999297169863,1.3200867558724456,1.324,47,85.59375
1776310027.4375892,0.09603218679096093,1.3265284840892586,1.33,47,85.859375
1776310027.4375892,0.08062175642293501,1.3300587890733555,1.3325,47,86.53125
1776310027.4375892,0.06627620712331755,1.3566320528681854,1.35825,47,87.203125
1776310027.4375892,0.05434481184738208,1.354910565840149,1.356,47,87.703125
1776310027.4375892,0.04443550903591145,1.3687789213516985,1.3695,47,88.140625
1776310027.4375892,0.03330641160300222,1.3876003325691917,1.388,47,88.625
1776310027.4375892,0.01688838232020614,1.4073986757641228,1.4075,47,89.3125
1776310027.4375892,0.010827481129072749,1.4179586614751503,1.418,47,89.5625
1776310027.4375892,-0.005902741609856907,1.442987927060198,1.443,47,90.234375
1776310027.4375892,-0.012684019346886606,1.453444655173773,1.4535,47,90.5
1776310027.4375892,-0.03622285329981865,1.4755554563955975,1.476,47,91.40625
1776310027.4375892,-0.048647019375133216,1.511217213872948,1.512,47,91.84375
1776310027.4375892,-0.06207822619128359,1.516730132170171,1.518,47,92.34375
1776310027.4375892,-0.07404042351646455,1.5327127146616557,1.5345,47,92.765625
1776310027.4375892,-0.08973380417758578,1.5651798321240338,1.56775,47,93.28125
1776310027.4375892,-0.1088735244611744,1.5817575053311432,1.5855,47,93.9375
1776310027.4375892,-0.1178361649250609,1.6034259261767454,1.60775,47,94.203125
1776310027.4375892,-0.13873340456051098,1.6265943847373412,1.6325,47,94.875
1776310027.4375892,-0.1607940380293686,1.655710580788264,1.6635,47,95.546875
1776310027.4375892,-0.1779754264508538,1.6800996987023231,1.6895,47,96.046875
1776310027.4375892,-0.19366475334081945,1.7080559016945083,1.719,47,96.46875
1776310027.4375892,-0.21153532503604075,1.7306198474136072,1.7435,47,96.96875
1776310027.4375892,-0.23706619730766493,1.767169663075417,1.783,47,97.640625
1776310027.4375892,-0.2491765222928355,1.7942807223893502,1.8115,47,97.90625
1776310027.4375892,-0.2754945203040247,1.8263383501647374,1.847,47,98.578125
1776310027.4375892,-0.2884938316419088,1.854190809788618,1.8765,47,98.84375
1776310027.4375892,-0.31854641674001527,1.8538309470882441,1.881,47,99.75
1776310027.4375892,-0.32318093369997863,1.801236820657631,1.83,47,100.171875
1776310027.4375892,-0.3405538433037199,1.8071923195418536,1.839,47,100.671875
1776310027.4375892,-0.3534279262221852,1.7998782635129202,1.83425,47,101.109375
1776310027.4375892,-0.3597132844285757,1.7509319241494248,1.7875,47,101.609375
1776310027.4375892,-0.4542980382450471,1.7236355596374489,1.7825,47,104.765625
1776310027.4375892,-0.47735258330808916,1.7490293054174633,1.813,47,105.265625
1776310027.4375892,-0.4974172818420049,1.7418691965026858,1.8115,47,105.9375
1776310027.4375892,-0.5032549189210735,1.7318622163964845,1.8035,47,106.203125
1776310027.4375892,-0.5211725915411021,1.7197639750344613,1.797,47,106.859375
1776310027.4375892,-0.5306857421060855,1.7223465695455467,1.80225,47,107.125
1776310027.4375892,-0.5664232946488946,1.7114532461563452,1.80275,47,108.3125
1776310027.4375892,-0.5774659994171298,1.7011599776379573,1.7965,47,108.75
1776310027.4375892,-0.5921561278658786,1.6971615627956256,1.7975,47,109.234375
1776310027.4375892,-0.6030781530668865,1.686940719555205,1.7915,47,109.671875
1776310027.4375892,-0.6089173808210608,1.6561038232351313,1.7645,47,110.1875
1776310027.4375892,-0.6272270308646756,1.6460463243033847,1.7615,47,110.859375
1776310027.4375892,-0.6462942069027695,1.6727370865213458,1.79325,47,111.125
1776310027.4375892,-0.6696705592921389,1.6745607161334444,1.8035,47,111.796875
1776310027.4375892,-0.6901931938219169,1.6675598693006204,1.80475,47,112.484375
1776310027.4375892,-0.6975343605273401,1.6457831162956178,1.7875,47,112.96875
1776310027.4375892,-0.6906156476025349,1.5954410917631936,1.7385,47,113.40625
1776310027.4375892,-0.724166228126917,1.6336928334422092,1.787,47,113.90625
1776310027.4375892,-0.7512078015560553,1.6412531306539275,1.805,47,114.59375
1776310027.4375892,-0.7550250684543106,1.629586802231033,1.796,47,114.859375
1776310027.4375892,-0.7710554287221396,1.6154174463085749,1.79,47,115.515625
