point_t,x,y,dist_m,quality,angle_deg,imu_t,ax,ay,az,pitch,roll
1776308691.858335,0.20247194586621273,0.5231884088329456,0.561,47,68.84375,3498380.0,-0.48,-0.01,0.771,-31.93,-0.65
1776308691.958681,0.20283729210538393,0.5262632734015885,0.564,47,68.921875,3613908.0,-0.479,-0.012,0.768,-31.97,-0.77
1776308692.061585,0.20097031276083246,0.5269790635203766,0.564,47,69.125,3729448.0,-0.48,-0.01,0.771,-31.92,-0.65
1776308692.1615274,0.20269376852012916,0.5263185691224548,0.564,47,68.9375,3787216.0,-0.479,-0.011,0.773,-31.74,-0.68
1776308692.2634528,0.2029058869448,0.5294508485621153,0.567,47,69.03125,3902772.0,-0.479,-0.011,0.769,-31.89,-0.68
1776308692.3641527,0.20745635993787992,0.521232058416714,0.561,47,68.296875,4018324.0,-0.477,-0.011,0.771,-31.73,-0.68
1776308692.4644358,0.199432149406011,0.5259591883248153,0.5625,47,69.234375,4133856.0,-0.481,-0.011,0.769,-32.05,-0.71
1776308692.566514,0.19842775481240407,0.5263389365419477,0.5625,47,69.34375,4191632.0,-0.479,-0.01,0.77,-31.88,-0.62
1776308692.6659086,0.20478161707986736,0.528728180926792,0.567,47,68.828125,4307172.0,-0.479,-0.011,0.769,-31.93,-0.71
1776308692.767495,0.20304253531256417,0.5229672349716052,0.561,47,68.78125,4422728.0,-0.48,-0.01,0.771,-31.94,-0.65
1776308692.8655622,0.2024066761375999,0.5264290431339523,0.564,47,68.96875,4538252.0,-0.48,-0.01,0.768,-32.04,-0.62
1776308692.9662032,0.2031946273921853,0.5293401018239133,0.567,47,69.0,4596020.0,-0.48,-0.013,0.767,-32.07,-0.8
1776308693.0679252,0.2013945017397594,0.5289577059359226,0.566,47,69.15625,4711548.0,-0.479,-0.01,0.772,-31.82,-0.65
1776308693.1686797,0.20499513563841992,0.5318618188633075,0.57,47,68.921875,4827080.0,-0.479,-0.009,0.77,-31.91,-0.59
1776308693.2682054,0.2021546893485331,0.5249187856939377,0.5625,47,68.9375,4942600.0,-0.479,-0.012,0.773,-31.78,-0.77
1776308693.368079,0.2013300448815489,0.5236288886491974,0.561,47,68.96875,5000376.0,-0.479,-0.01,0.769,-31.94,-0.65
1776308693.4685585,0.20179296520121945,0.5282706211737498,0.5655,47,69.09375,5115920.0,-0.479,-0.01,0.769,-31.96,-0.62
1776308693.5676074,0.20183820402533806,0.5186073557093324,0.5565,47,68.734375,5231460.0,-0.48,-0.011,0.772,-31.88,-0.71
1776308693.6680937,0.2093877848632232,0.5269210145269142,0.567,47,68.328125,5347008.0,-0.478,-0.012,0.769,-31.88,-0.74
1776308693.7689407,0.197755452861844,0.5249893149992741,0.561,47,69.359375,5404796.0,-0.481,-0.013,0.77,-31.99,-0.83
1776308693.869819,0.2013300448815489,0.5236288886491974,0.561,47,68.96875,5520336.0,-0.479,-0.01,0.769,-31.94,-0.65
1776308693.9690676,0.2021195235435494,0.5265393605444217,0.564,47,69.0,5635876.0,-0.479,-0.009,0.771,-31.83,-0.59
1776308694.0693135,0.20247194586621273,0.5231884088329456,0.561,47,68.84375,5693648.0,-0.479,-0.011,0.768,-31.95,-0.71
1776308694.1705954,0.20845098929206324,0.5208350843243571,0.561,47,68.1875,5809184.0,-0.48,-0.011,0.771,-31.92,-0.68
1776308694.2710671,0.1989242997268381,0.5272204216247576,0.5635,47,69.328125,5924732.0,-0.48,-0.009,0.773,-31.82,-0.58
1776308694.370858,0.2015170264793473,0.5358611182376662,0.5725,47,69.390625,6040268.0,-0.482,-0.011,0.773,-31.94,-0.71
1776308694.4707742,0.20160259888940252,0.5347603595266189,0.5715,47,69.34375,6098052.0,-0.478,-0.01,0.77,-31.8,-0.62
1776308694.5716155,0.20118723976932704,0.5236837734301105,0.561,47,68.984375,6213564.0,-0.48,-0.012,0.769,-32.01,-0.74
1776308694.6705475,0.2032203248136065,0.5320072833924854,0.5695,47,69.09375,6329096.0,-0.478,-0.013,0.771,-31.79,-0.8
1776308694.773083,0.20402224480721687,0.5263413090607881,0.5645,47,68.8125,6444636.0,-0.481,-0.011,0.773,-31.91,-0.71
1776308694.8728855,0.2066150665658226,0.5245229039498663,0.56375,47,68.5,6502412.0,-0.48,-0.013,0.771,-31.92,-0.83
1776308694.9729726,0.20532942027720363,0.5370892190024181,0.575,47,69.078125,6617952.0,-0.482,-0.011,0.773,-31.94,-0.71
1776308695.072278,0.20318591029169,0.5363000427549277,0.5735,47,69.25,6733504.0,-0.48,-0.009,0.767,-32.06,-0.56
1776308695.1725314,0.2061510031219207,0.5335595223701155,0.572,47,68.875,6849036.0,-0.482,-0.011,0.771,-32.03,-0.71
1776308695.2725532,0.20552401906422976,0.5354083745961452,0.5735,47,69.0,6906792.0,-0.478,-0.013,0.769,-31.86,-0.8
1776308695.5202715,0.008776251625542053,-0.1973049097397355,0.1975,47,272.546875,7195624.0,-0.478,-0.012,0.768,-31.89,-0.77
1776308697.229876,0.3131086817854398,0.8117037349862228,0.87,47,68.90625,8870948.0,-0.478,-0.011,0.771,-31.81,-0.71
1776308697.3422773,0.30474040317752815,0.7572300503619739,0.81625,47,68.078125,8986496.0,-0.481,-0.012,0.77,-31.99,-0.77
1776308697.4530215,0.21028945365927615,0.5217131354295033,0.5625,47,68.046875,9102040.0,-0.479,-0.011,0.771,-31.84,-0.68
1776308697.560639,0.20942289738883638,0.5236774293868935,0.564,47,68.203125,9217604.0,-0.479,-0.01,0.772,-31.8,-0.65
1776308697.658717,0.21014717065454044,0.5217704635813447,0.5625,47,68.0625,9275360.0,-0.48,-0.011,0.771,-31.92,-0.68
1776308697.753762,0.20389796626496542,0.5226343074780023,0.561,47,68.6875,9390912.0,-0.48,-0.01,0.77,-31.93,-0.65
1776308697.8456614,0.20377192686332132,0.5291181359794892,0.567,47,68.9375,9506448.0,-0.479,-0.008,0.772,-31.79,-0.52
1776308697.9382582,0.20401435716846839,0.5241988096792443,0.5625,47,68.734375,9564212.0,-0.478,-0.011,0.771,-31.79,-0.71
1776308698.0332804,0.20662387490487136,0.5296213971501681,0.5685,47,68.6875,9679752.0,-0.479,-0.01,0.771,-31.87,-0.62
1776308698.1284406,0.20475034005683798,0.5399847666801437,0.5775,47,69.234375,9795308.0,-0.479,-0.011,0.771,-31.88,-0.71
1776308698.225194,0.20882791402510478,0.529293776955599,0.569,47,68.46875,9853092.0,-0.479,-0.011,0.767,-31.97,-0.68
1776308698.325599,0.2043957940134495,0.5390497281231218,0.5765,47,69.234375,9968628.0,-0.48,-0.013,0.77,-31.96,-0.83
1776308698.4271898,0.20118769391321406,0.5327792805823842,0.5695,47,69.3125,10084200.0,-0.479,-0.009,0.77,-31.87,-0.59
1776308698.5290086,0.2016389364766362,0.5304695931875559,0.5675,47,69.1875,10199820.0,-0.478,-0.01,0.769,-31.86,-0.62
1776308698.6314929,0.20785103796263327,0.5243032958296714,0.564,47,68.375,10257648.0,-0.48,-0.012,0.769,-31.98,-0.74
1776308698.7331095,0.21270093100689436,0.5174925738102919,0.5595,47,67.65625,10373268.0,-0.481,-0.01,0.766,-32.12,-0.65
1776308698.8345406,0.2057687566018695,0.5369210545383004,0.575,47,69.03125,10488904.0,-0.48,-0.01,0.769,-32.01,-0.65
1776308698.9361138,0.20525524310207077,0.5347081892762723,0.57275,47,69.0,10604520.0,-0.479,-0.012,0.771,-31.85,-0.77
1776308699.0368364,0.2041663221201693,0.5305736168637895,0.5685,47,68.953125,10662348.0,-0.479,-0.012,0.77,-31.9,-0.77
1776308699.1390862,0.20315789296026165,0.5411200149023753,0.578,47,69.421875,10777968.0,-0.479,-0.01,0.776,-31.71,-0.64
1776308699.2400477,0.20373920402329046,0.5355551668539441,0.573,47,69.171875,10893596.0,-0.478,-0.011,0.767,-31.9,-0.68
1776308699.342128,0.20444891521559386,0.5326076333166536,0.5705,47,69.0,11009216.0,-0.477,-0.009,0.771,-31.7,-0.56
1776308699.444815,0.20283726047490191,0.538035357353991,0.575,47,69.34375,11067020.0,-0.479,-0.01,0.769,-31.91,-0.65
1776308699.5469124,0.20323783553239805,0.5346759600057832,0.572,47,69.1875,11182660.0,-0.479,-0.011,0.771,-31.88,-0.68
1776308699.6500769,0.2030920177278998,0.5347313646450995,0.572,47,69.203125,11298292.0,-0.48,-0.01,0.77,-31.93,-0.65
1776308699.748346,0.2076921098886416,0.5353756157969883,0.57425,47,68.796875,11413912.0,-0.479,-0.009,0.768,-31.99,-0.59
1776308699.8484209,0.20472442635138613,0.5268732976296064,0.56525,47,68.765625,11471708.0,-0.48,-0.013,0.771,-31.88,-0.8
1776308699.9493787,0.2072692884005392,0.5282950805051417,0.5675,47,68.578125,11587336.0,-0.48,-0.011,0.769,-31.97,-0.71
1776308700.0504768,0.20433471364057054,0.5380033222959,0.5755,47,69.203125,11702976.0,-0.479,-0.012,0.771,-31.84,-0.77
1776308700.1475284,0.20576866346213815,0.524049861308068,0.563,47,68.5625,11818628.0,-0.479,-0.011,0.77,-31.91,-0.68
1776308700.250169,0.20346462515325414,0.5335195838122962,0.571,47,69.125,11876440.0,-0.478,-0.012,0.77,-31.82,-0.74
1776308700.3515105,0.2060046997875254,0.5370983393806498,0.57525,47,69.015625,11992072.0,-0.478,-0.012,0.77,-31.82,-0.74
1776308700.45286,0.20428131127621918,0.5334751244090661,0.57125,47,69.046875,12107692.0,-0.48,-0.011,0.769,-31.99,-0.68
1776308700.552363,0.20445305286964263,0.5427697017817806,0.58,47,69.359375,12165512.0,-0.48,-0.011,0.77,-31.95,-0.68
1776308700.6525235,0.20936209610338652,0.5414312169751541,0.5805,47,68.859375,12281144.0,-0.479,-0.011,0.771,-31.88,-0.71
1776308700.7532587,0.20631705608117681,0.5423313884240858,0.58025,47,69.171875,12396776.0,-0.478,-0.01,0.77,-31.83,-0.65
1776308700.8530257,0.20627328479376725,0.5377985979717588,0.576,47,69.015625,12512404.0,-0.479,-0.011,0.771,-31.87,-0.71
1776308700.953022,0.21330349065503038,0.5372016575499179,0.578,47,68.34375,12570224.0,-0.479,-0.009,0.771,-31.82,-0.59
1776308701.0549214,0.21541679168601907,0.5315052735953824,0.5735,47,67.9375,12685860.0,-0.479,-0.01,0.769,-31.89,-0.62
1776308701.1556373,0.2100429303926446,0.5336517754042149,0.5735,47,68.515625,12801492.0,-0.481,-0.011,0.77,-32.0,-0.68
1776308701.2556503,0.20667159555487638,0.5446036187823229,0.5825,47,69.21875,12917096.0,-0.479,-0.01,0.77,-31.88,-0.62
1776308701.3555987,0.20954541307392463,0.5384104218527704,0.57775,47,68.734375,12974896.0,-0.48,-0.012,0.77,-31.95,-0.74
1776308701.4560206,0.20997165064868825,0.5492321056929076,0.588,47,69.078125,13090528.0,-0.479,-0.011,0.771,-31.86,-0.71
1776308701.555979,0.21190489720110653,0.5409781091155061,0.581,47,68.609375,13206172.0,-0.479,-0.011,0.769,-31.96,-0.68
1776308701.6547265,0.20747264493471204,0.5453690049900113,0.5835,47,69.171875,13321812.0,-0.479,-0.009,0.771,-31.86,-0.59
1776308701.7564664,0.20631011983374364,0.5463443368922078,0.584,47,69.3125,13379616.0,-0.478,-0.011,0.773,-31.72,-0.71
1776308701.8563483,0.21407894297114968,0.5395835951697895,0.5805,47,68.359375,13495248.0,-0.478,-0.012,0.768,-31.89,-0.77
1776308701.9557624,0.20513061882150407,0.5387705255690096,0.5765,47,69.15625,13610888.0,-0.476,-0.009,0.771,-31.69,-0.56
1776308702.055138,0.21415289062826645,0.5406299930965334,0.5815,47,68.390625,13668708.0,-0.481,-0.01,0.774,-31.84,-0.61
1776308702.1560962,0.20667262188226457,0.5432660396751398,0.58125,47,69.171875,13784348.0,-0.479,-0.012,0.77,-31.9,-0.77
1776308702.2545307,0.2118262021999949,0.5420827059236688,0.582,47,68.65625,13899972.0,-0.479,-0.012,0.771,-31.89,-0.74
1776308702.3536837,0.21260796932003598,0.5380149639012011,0.5785,47,68.4375,14015624.0,-0.48,-0.011,0.772,-31.88,-0.68
1776308702.4547067,0.21487904062795646,0.5322621514806487,0.574,47,68.015625,14073432.0,-0.478,-0.011,0.773,-31.73,-0.68
1776308702.554115,0.20583572432540048,0.5459889235061804,0.5835,47,69.34375,14189068.0,-0.479,-0.012,0.77,-31.91,-0.77
1776308702.6536114,0.20885403200900882,0.540555495128465,0.5795,47,68.875,14304712.0,-0.48,-0.012,0.772,-31.85,-0.77
1776308702.752818,0.21118595250424452,0.5439418566950653,0.5835,47,68.78125,14362516.0,-0.479,-0.012,0.772,-31.82,-0.77
1776308702.8527591,0.20605038173036097,0.5416303999857952,0.5795,47,69.171875,14478140.0,-0.478,-0.012,0.77,-31.8,-0.74
1776308702.9523392,0.20736993209316357,0.5491509002666541,0.587,47,69.3125,14593776.0,-0.477,-0.009,0.774,-31.65,-0.55
1776308703.0512483,0.2093292844962627,0.540907802358482,0.58,47,68.84375,14709400.0,-0.48,-0.01,0.77,-31.96,-0.65
1776308703.1510432,0.20542979197643504,0.5413313223604548,0.579,47,69.21875,14767212.0,-0.479,-0.012,0.771,-31.83,-0.74
1776308703.2498193,0.21149650993477792,0.5416746959988148,0.5815,47,68.671875,14882840.0,-0.479,-0.012,0.774,-31.75,-0.77
1776308703.3497584,0.20738425891277393,0.543797544271027,0.582,47,69.125,14998460.0,-0.477,-0.012,0.768,-31.86,-0.77
1776308703.4511943,0.2069052784365931,0.5407690872776252,0.579,47,69.0625,15114088.0,-0.48,-0.009,0.77,-31.93,-0.59
1776308703.5525272,0.2090145988987485,0.54317299035132,0.582,47,68.953125,15171900.0,-0.479,-0.013,0.769,-31.89,-0.8
1776308703.6503592,0.20879899476616381,0.5373594977151139,0.5765,47,68.765625,15287536.0,-0.478,-0.011,0.771,-31.77,-0.68
1776308703.7512362,0.20725151678982973,0.5390297383153502,0.5775,47,68.96875,15403184.0,-0.48,-0.01,0.768,-32.03,-0.62
1776308703.8492496,0.2089107017405116,0.5367795811115461,0.576,47,68.734375,15460984.0,-0.479,-0.011,0.771,-31.83,-0.68
1776308703.9495583,0.21300833815760364,0.5416192831457683,0.582,47,68.53125,15576624.0,-0.479,-0.01,0.77,-31.9,-0.65
1776308704.0494878,0.2069052784365931,0.5407690872776252,0.579,47,69.0625,15692244.0,-0.48,-0.01,0.771,-31.89,-0.62
1776308704.1475008,0.20307215262659117,0.5395497667755983,0.5765,47,69.375,15807880.0,-0.479,-0.011,0.768,-31.99,-0.68
1776308704.2482193,0.21084646152446873,0.5344099733936585,0.5745,47,68.46875,15865684.0,-0.478,-0.012,0.771,-31.79,-0.77
1776308704.3476672,0.20833467586966112,0.5445049704367108,0.583,47,69.0625,15981328.0,-0.482,-0.011,0.771,-32.05,-0.68
1776308704.4466772,0.21301213404518182,0.5394680998442053,0.58,47,68.453125,16096960.0,-0.481,-0.012,0.767,-32.08,-0.77
1776308704.5468683,0.2096388587816307,0.5434683053212354,0.5825,47,68.90625,16154772.0,-0.479,-0.011,0.772,-31.8,-0.68
1776308704.6464732,0.21197281924425065,0.5334262122371229,0.574,47,68.328125,16270392.0,-0.479,-0.01,0.769,-31.91,-0.62
1776308704.7473981,0.2093326032229649,0.5516156825434686,0.59,47,69.21875,16386016.0,-0.481,-0.012,0.769,-32.02,-0.74
1776308704.8463995,0.20752472169888111,0.5362448040622882,0.575,47,68.84375,16501648.0,-0.479,-0.01,0.771,-31.84,-0.62
1776308704.9442105,0.20565934409890055,0.5455210666736987,0.583,47,69.34375,16559488.0,-0.479,-0.009,0.768,-31.99,-0.59
1776308705.04434,0.2112836040503433,0.5342372962078722,0.5745,47,68.421875,16675112.0,-0.48,-0.011,0.767,-32.03,-0.68
1776308705.1455054,0.20847590147890638,0.5417730599638166,0.5805,47,68.953125,16790724.0,-0.479,-0.011,0.768,-31.96,-0.68
1776308705.2458434,0.2174591274779369,0.5382302275760201,0.5805,47,68.0,16906360.0,-0.48,-0.011,0.771,-31.92,-0.71
1776308705.345467,0.20907891403878737,0.5468969351755059,0.5855,47,69.078125,16964176.0,-0.48,-0.011,0.775,-31.76,-0.67
1776308705.4440408,0.21117544832950202,0.5391158781030603,0.579,47,68.609375,17079796.0,-0.478,-0.01,0.771,-31.78,-0.65
1776308705.5440168,0.20510207301028024,0.54359372664416,0.581,47,69.328125,17195436.0,-0.48,-0.01,0.771,-31.92,-0.65
1776308705.6426258,0.20716615619306059,0.5481589037206204,0.586,47,69.296875,17253248.0,-0.479,-0.012,0.769,-31.93,-0.74
